,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,World,WLD,80.01612111,80.34427528,81.10930341,81.72413151,82.32365179,83.74470316,84.2933469,84.82780931,85.34864887,85.85004886,86.34352428,86.7418325,87.19449782,87.61650886,88.04544516,88.46361566,88.46361566,88.46361566
1,Afghanistan,AFG,27.06985916,27.16058642,29.68308518,32.20951962,34.73993262,37.27590709,39.81787016,42.36563296,44.91963216,47.47966935,50.04619073,52.61932497,55.19920073,57.78594666,60.37934056,62.98020808,62.98020808,62.98020808
2,Albania,ALB,87.58479499,87.65395136,87.72387952,87.7887929,87.84864255,87.9028779,87.95172798,87.99504018,88.03267279,88.06392235,88.08949233,88.10882098,88.23500804,89.84174957,91.36792313,91.39433316,91.39433316,91.39433316
3,Algeria,DZA,89.8372564,90.11459826,90.38716942,90.65480185,90.91754503,91.17525841,91.42819244,91.67621757,91.91957325,92.15679683,92.38832993,92.61434563,92.83494129,93.05037126,93.26080864,93.46642653,93.46642653,93.46642653
4,American Samoa,ASM,98.5,98.56097,98.62194,98.68291,98.74388,98.80485,98.86582,98.92679,98.98776,99.04873,99.1097,99.17067,99.23164,99.23164,99.23164,99.23164,99.23164,99.23164
5,Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,Angola,AGO,37.76852024,38.07129638,38.37868168,38.59190992,38.80548145,39.01677494,39.22786505,39.43784401,39.64665694,39.85259547,40.05768983,40.26065289,40.45779572,40.64753807,40.83034296,41.00586762,41.00586762,41.00586762
7,Antigua and Barbuda,ATG,98.25376517,98.1372591,98.02075303,97.90424697,97.7877409,97.67123483,97.55472876,97.43822269,97.32171662,97.20521055,97.08870448,96.97219841,96.85569235,96.73918628,96.73918628,96.73918628,96.73918628,96.73918628
8,Argentina,ARG,99.01157595,99.0608209,99.10885498,99.15554035,99.20072729,99.24435417,99.28649895,99.32719197,99.36649133,99.40436848,99.44090538,99.47609017,99.50995527,99.50794272,99.63200261,99.62730019,99.62730019,99.62730019
9,Armenia,ARM,95.87336222,96.02985244,96.20384729,96.38417656,96.56483986,96.7458372,96.92710692,97.10877739,97.28629844,97.46094456,97.6376547,97.7658534,97.7174441,97.67005118,98.46097011,98.92365243,98.92365243,98.92365243
10,Aruba,ABW,94.48880636,94.77049111,95.05217586,95.33386061,95.61554536,95.89723012,96.17891487,96.46059962,96.74228437,97.02396912,97.30565388,97.58733863,97.86902338,97.86902338,97.86902338,97.86902338,97.86902338,97.86902338
11,Australia,AUS,99.73510092,99.73675877,99.73802745,99.75804467,99.77784115,99.7974,99.8167375,99.8358516,99.85475008,99.87343233,99.89190265,99.91016667,99.92822592,99.9460847,99.95981995,99.96870195,99.96870195,99.96870195
12,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,Azerbaijan,AZE,76.43698111,76.98462661,77.52885926,78.07034353,78.60874335,79.14375334,79.67569422,80.20485603,80.73065103,81.25337692,81.77597093,82.29817987,82.81975052,83.3404297,83.85996419,84.37787214,84.37787214,84.37787214
14,"Bahamas, The",BHS,98.38362672,98.33430364,98.28498056,98.23565748,98.18633439,98.13701131,98.08768823,98.03836515,97.98904206,97.93971898,97.8903959,97.84107282,97.79174973,97.79174973,97.79174973,97.79174973,97.79174973,97.79174973
15,Bahrain,BHR,99.89794432,99.90803774,99.91813116,99.92822458,99.938318,99.94841141,99.95850483,99.96859825,99.97869167,99.98878509,99.99887851,100,100,100,100,100,100,100
16,Bangladesh,BGD,94.64647274,94.8376997,95.03263929,95.22529768,95.41556015,95.60328875,95.78850947,95.97111381,96.15100161,96.32808103,96.50233194,96.67364136,96.84181108,97.00676903,97.16855332,97.32714248,97.32714248,97.32714248
17,Barbados,BRB,98.54368365,98.51421824,98.48475282,98.4552874,98.42582199,98.39635657,98.36689116,98.33742574,98.30796033,98.27849491,98.24902949,98.21956408,98.19009866,98.16063325,98.13116783,98.13116783,98.13116783,98.13116783
18,Belarus,BLR,97.9032296,97.89838297,97.89357631,97.88881961,97.89738406,97.90615878,97.91514122,97.92432878,97.93370977,97.943309,97.95308772,97.96312196,97.97338863,97.98389087,97.99461491,98.0055556,98.0055556,98.0055556
19,Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,Belize,BLZ,87.57212206,88.20157451,88.83223567,89.46397836,90.09686724,90.73101467,91.36624575,92.00261878,92.64013375,93.27883841,93.91868079,94.56070493,95.20471719,95.85061092,96.49823385,97.12880364,97.12880364,97.12880364
21,Benin,BEN,60.06423832,60.54256435,61.01786428,61.49176188,61.96433885,62.43520342,62.90420609,63.37119735,63.83623672,64.29875109,64.7590035,65.2166354,65.67149728,66.1232583,66.57196136,67.0172867,67.0172867,67.0172867
22,Bermuda,BMU,99.99414291,99.98655933,99.97897576,99.97139218,99.96380861,99.95622504,99.94864146,99.94105789,99.93347431,99.92589074,99.91830717,99.91072359,99.90314002,99.90314002,99.90314002,99.90314002,99.90314002,99.90314002
23,Bhutan,BTN,80.96643014,82.39172138,83.78782673,85.15339336,86.48721556,87.78186534,88.99610575,90.18727322,91.35488459,92.49825692,93.61715299,94.71113796,95.77944789,96.82251111,97.55925857,97.55866085,97.55866085,97.55866085
24,Bolivia,BOL,78.81528616,79.85743208,80.88525947,81.89729588,82.89375936,83.87451798,84.84050421,85.79125072,86.72701915,87.64836294,88.55522287,89.44786056,90.32678585,91.19174946,92.04327575,92.88162636,92.88162636,92.88162636
25,Bosnia and Herzegovina,BIH,96.39817433,96.28692324,96.37836276,96.49098066,96.60365886,96.71640565,96.82922102,96.94210499,97.05502431,97.16787435,97.28055222,97.39294863,97.5049558,97.5619918,97.66172958,97.66018613,97.66018613,97.66018613
26,Botswana,BWA,76.86522882,77.23926613,77.41363851,77.55812906,77.70271293,77.84627138,77.98992314,78.1332953,78.27638787,78.41883092,78.56062627,78.70251314,78.8441216,78.98802426,79.0795347,79.17398525,79.17398525,79.17398525
27,Brazil,BRA,93.7065826,93.99435746,94.26893347,94.5376082,94.80026463,95.05701817,95.30817826,95.55383726,95.79408751,96.02867952,96.25807825,96.48253159,96.70107398,96.91421657,97.23310213,97.49794257,97.49794257,97.49794257
28,British Virgin Islands,VGB,95.30273973,95.68287671,96.0630137,96.44315068,96.82328767,97.20342466,97.58356164,97.96369863,98.34383562,98.7239726,99.10410959,99.48424658,99.86438356,99.86438356,99.86438356,99.86438356,99.86438356,99.86438356
29,Brunei Darussalam,BRN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.49607,99.498476,99.500804,99.50306,99.505232,99.507338,99.509366,99.511322,99.513212,99.513212,99.513212
30,Bulgaria,BGR,99.74089367,99.74177477,99.74301204,99.74423988,99.70953455,99.66277089,99.61626296,99.57001238,99.52401686,99.47826823,99.43276927,99.38751106,99.34249012,99.29769561,99.25313069,99.25563508,99.25563508,99.25563508
31,Burkina Faso,BFA,46.70862706,46.94466496,47.39456838,47.85309036,48.32133413,48.79800907,49.28422214,49.78005544,50.28002558,50.78380587,51.29036398,51.80005894,52.31219633,52.82607173,53.34132614,53.85759552,53.85759552,53.85759552
32,Burundi,BDI,52.44397848,52.664314,52.88787196,53.11436863,53.34384686,53.57634952,53.81226319,54.05129271,54.29417984,54.53992767,54.78963596,55.0430067,55.30009132,55.56094126,55.82560792,55.93411981,55.93411981,55.93411981
33,Cabo Verde,CPV,77.90355339,78.11246097,78.31817763,78.52027751,79.20139189,79.89295008,80.59532292,81.30793839,82.03120757,82.76396632,83.50679627,84.25545198,85.0094104,85.62081831,85.83201712,86.45935273,86.45935273,86.45935273
34,Cambodia,KHM,52.40165587,53.90122597,55.40056397,56.89966986,58.39881623,59.89800011,61.39694792,62.89592927,64.39467256,65.89665691,67.40131038,68.90913151,70.42008162,71.93385838,73.45068872,74.97079565,74.97079565,74.97079565
35,Cameroon,CMR,55.30392043,55.99683598,56.68710293,57.37426463,58.05874815,58.73923679,59.41659947,60.08869199,60.75639806,61.41847198,62.07579452,62.72756183,63.37381828,64.01460826,64.65038249,65.27996628,65.27996628,65.27996628
36,Canada,CAN,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.7,99.6,99.5,99.4,99.3,99.2,99.1,99,98.9,98.9,98.9
37,Cayman Islands,CYM,NaN,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125,96.125
38,Central African Republic,CAF,52.09021152,52.22333695,52.35651166,52.48937927,52.62193976,52.7604396,52.90443251,53.05416627,53.20919835,53.36977278,53.53578845,53.70714422,53.88373899,53.96454689,54.05103138,54.14386029,54.14386029,54.14386029
39,Chad,TCD,39.0033695,39.227027,39.45048189,39.67456952,39.89887386,40.1233949,40.34813265,40.57352284,40.79869728,41.02408844,41.25682563,41.49706648,41.74496859,42.00114498,42.26530441,42.53760447,42.53760447,42.53760447
40,Channel Islands,CHI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15,94.15
41,Chile,CHL,95.2637444,95.69418871,96.11196509,96.51613677,96.90773222,97.28728862,97.65519696,98.01218036,98.35888238,98.69569402,99.02315243,99.3418882,99.65229232,99.92838032,100,100,100,100
42,China,CHN,77.50070014,77.8952594,79.58473802,81.21650801,82.78871482,84.29854342,85.73662105,87.1083219,88.41852568,89.66551127,90.84965463,91.97024884,93.02516091,94.0163445,94.94642359,95.81802862,95.81802862,95.81802862
43,Colombia,COL,90.04349355,90.52485071,91.00015892,91.4694726,91.93308531,92.39056419,92.84221187,93.28808277,93.72823134,94.16271201,94.59157922,95.01488741,95.43252449,95.84472958,96.23099207,96.52202969,96.52202969,96.52202969
44,Comoros,COM,86.39734945,86.20263245,86.00705844,85.81060492,85.61330717,85.41574036,85.21821004,85.02118974,84.82501729,84.63007249,84.43682583,84.24548548,84.05673254,83.87064552,83.68783431,83.70118759,83.70118759,83.70118759
45,"Congo, Dem. Rep.",COD,34.37135654,34.8676151,35.36378014,35.85983607,36.35576726,36.85205936,37.34919104,37.84663853,38.34537308,38.84388058,39.34263799,39.84211533,40.34130839,40.84020157,41.33926488,41.83799362,41.83799362,41.83799362
46,"Congo, Rep.",COG,56.84796709,57.1433528,57.5011168,57.85855982,58.80955794,59.74652924,60.66955772,61.57931423,62.47412227,63.35470868,64.22119948,65.07318984,65.91084777,66.73484414,67.54432728,68.34045687,68.34045687,68.34045687
47,Costa Rica,CRI,93.86576939,94.4226437,94.95523874,95.46350667,95.94790005,96.40837228,96.84575121,97.26043199,97.65287678,98.02351544,98.3732423,98.70255427,99.01146906,99.30144497,99.56335665,99.69781668,99.69781668,99.69781668
48,Cote d'Ivoire,CIV,71.86248535,71.90967899,71.96006321,72.0129835,72.06844836,72.12545052,72.18534576,72.28194788,72.38140626,72.48235239,72.58235804,72.68138494,72.77834932,72.87355011,72.96658919,73.05741557,73.05741557,73.05741557
49,Croatia,HRV,98.50969711,98.51432778,98.61989933,98.72516,98.80815878,98.89049756,98.97210133,99.05284778,99.13264089,99.21139767,99.28899344,99.36535556,99.44037,99.51394878,99.58600356,99.58590089,99.58590089,99.58590089
50,Cuba,CUB,93.03019003,93.2022035,93.37097073,93.52668358,93.67063252,93.81325566,93.95470219,94.0949721,94.2340654,94.37187085,94.50851235,94.64398988,94.77830344,94.91136713,95.04383669,95.17550602,95.17550602,95.17550602
51,Curacao,CUW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.37274522,99.37274522,99.37274522,99.37274522,99.37274522,99.37274522,99.37274522,99.37274522,99.37274522,99.37274522,99.37274522
52,Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
53,Czech Republic,CZE,99.80612464,99.80582696,99.8113931,99.816976,99.82257834,99.82820011,99.83384132,99.83950014,99.84518037,99.85087849,99.85659774,99.86233515,99.86809229,99.87388402,99.87970315,99.87968019,99.87968019,99.87968019
54,Denmark,DNK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
55,Djibouti,DJI,74.84371103,74.98980031,75.13573869,75.28152617,75.42716274,75.57235068,75.71768709,75.86287259,76.00790719,76.15249973,76.2989713,76.44671171,76.59626884,76.74703903,76.89956361,76.92248362,76.92248362,76.92248362
56,Dominica,DMA,93.475,93.75,94.025,94.3,94.575,94.85,95.125,95.4,95.675,95.95,96.225,96.5,96.5,96.5,96.5,96.5,96.5,96.5
57,Dominican Republic,DOM,91.0932912,91.3096803,91.52021044,91.79019787,92.07651164,92.34971627,92.61037592,92.85847976,93.09431071,93.31723347,93.52810914,93.72712407,93.9105812,94.07911245,94.23369611,94.4770736,94.4770736,94.4770736
58,Ecuador,ECU,83.09870988,83.7825262,84.43318272,85.06160375,85.69020225,86.31879118,86.94736921,87.57631083,88.20524065,88.83415732,89.46324876,90.09251497,90.72347725,91.35595573,91.99015087,92.60993222,92.60993222,92.60993222
59,"Egypt, Arab Rep.",EGY,98.23513692,98.24381157,98.2524679,98.2611059,98.26972558,98.27832694,98.28690998,98.29472989,98.30209862,98.3094931,98.31687757,98.32428738,98.33206533,98.34019888,98.34867548,98.35749916,98.35749916,98.35749916
60,El Salvador,SLV,80.2359009,80.42878337,81.46076501,82.4750407,83.47235495,84.45159937,85.41382224,86.35885684,87.28586886,88.19495043,89.08646699,89.96058682,90.81808488,91.65894753,92.48373736,93.01307096,93.01307096,93.01307096
61,Equatorial Guinea,GNQ,48.90513913,48.91536068,48.92535699,48.93917372,48.95698376,48.98011586,49.00901311,49.04440755,49.08741406,49.1380178,49.19773524,49.26735476,49.34674888,49.4375467,49.51047902,49.59008488,49.59008488,49.59008488
62,Eritrea,ERI,16.82808588,16.92229516,17.02381244,17.13324653,17.25120649,17.37769472,17.51210675,17.65565876,17.80774632,17.96958603,18.13996637,18.32010416,18.51000218,18.7608003,19.02070731,19.29033047,19.29033047,19.29033047
63,Estonia,EST,99.13608752,99.16842482,99.20105155,99.23394534,99.26713085,99.30060808,99.33435811,99.36840216,99.40274023,99.43737232,99.47228409,99.50749219,99.54298456,99.57894973,99.61532283,99.61450486,99.61450486,99.61450486
64,Ethiopia,ETH,16.73468588,18.19648506,19.65649708,21.11275497,22.565823,24.01563261,25.46269096,26.9153592,28.4609221,30.00073112,31.53617062,33.06589499,34.5906786,36.10823014,37.6198311,39.12426158,39.12426158,39.12426158
65,Faroe Islands,FRO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
66,Fiji,FJI,94.6031105,94.635435,94.6677595,94.59180155,94.51642425,94.44137644,94.36690928,94.29293905,94.21955201,94.14622873,94.0733098,94.00070519,93.92823352,93.85606604,93.78419896,93.71244712,93.71244712,93.71244712
67,Finland,FIN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
68,France,FRA,99.89470982,99.904508,99.91410909,99.92352291,99.93275055,99.94178545,99.95064073,99.95931091,99.96780218,99.97611564,99.98425091,99.99221236,100,100,100,100,100,100
69,French Polynesia,PYF,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
70,Gabon,GAB,78.71260483,79.55073565,80.33995371,81.08400627,81.78598666,82.45028388,83.07872599,83.67446504,84.24005588,84.77793998,85.29084429,85.77978705,86.24769565,86.69620178,87.1265383,87.54092199,87.54092199,87.54092199
71,"Gambia, The",GMB,73.84811696,74.28117848,74.71522737,75.15026496,75.58179705,76.00940302,76.43324774,76.8529075,77.26874395,77.680134,78.08743971,78.49043111,78.88907542,79.28333986,79.67319165,80.05859802,80.05859802,80.05859802
72,Georgia,GEO,88.55739068,88.81970281,89.1085656,89.42689708,89.74461662,90.06172422,90.37758992,90.69212364,91.00613878,91.326448,91.65230453,91.97677832,92.29960107,92.6210307,92.94232768,93.26352694,93.26352694,93.26352694
73,Germany,DEU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
74,Ghana,GHA,64.36040775,65.30565744,66.24436642,67.17650296,68.10231174,69.02066046,69.93236261,70.83712586,71.73493433,72.62502216,73.5083999,74.38431758,75.25162054,76.10971763,76.95875177,77.79930236,77.79930236,77.79930236
75,Gibraltar,GIB,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037,99.61827037
76,Greece,GRC,99.3828771,99.43763159,99.49474473,99.55060485,99.60525492,99.65867194,99.71088813,99.76192961,99.8118102,99.86053449,99.90812861,99.9546125,100,100,100,100,100,100
77,Greenland,GRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
78,Grenada,GRD,93.30763781,93.53995278,93.77226775,94.00458272,94.23689769,94.46921266,94.70152763,94.9338426,95.16615757,95.39847254,95.63078751,95.86310247,95.97138889,95.62865044,95.62865044,95.62865044,95.62865044,95.62865044
79,Guam,GUM,99.4,99.4246,99.4492,99.4738,99.4984,99.523,99.5476,99.5722,99.5968,99.6214,99.646,99.6706,99.6952,99.6952,99.6952,99.6952,99.6952,99.6952
80,Guatemala,GTM,85.46690992,86.03990425,86.60819526,87.1720834,87.73196709,88.2876206,88.83910707,89.3863394,89.92910929,90.46746246,91.00120222,91.53015514,92.05446487,92.57376785,93.0882883,93.59769747,93.59769747,93.59769747
81,Guinea,GIN,54.49865614,55.34060772,56.1846651,57.03148559,57.88066945,58.73251646,59.58662999,60.44330668,61.30181113,62.16312225,63.0261674,63.8915789,64.7589695,65.62829234,66.49950057,67.37254732,67.37254732,67.37254732
82,Guinea-Bissau,GNB,52.78843045,53.88834875,54.98923527,56.0910664,57.19349584,58.29521602,59.39782178,60.50033026,61.60272669,62.70404296,63.80522357,64.89867409,65.98508026,67.0635507,68.13414444,69.19660863,69.19660863,69.19660863
83,Guyana,GUY,88.26870728,88.69372029,89.11894116,89.54444122,89.97112861,90.39909162,90.82813802,91.25835138,91.6895442,92.12179533,92.55498501,92.98899826,93.42390681,93.91822048,94.67870877,95.07132299,95.07132299,95.07132299
84,Haiti,HTI,56.42140552,57.03183783,57.64831114,58.26752649,58.88928529,59.4880083,60.06480286,60.61693013,61.14214509,61.63952384,62.10817303,62.54722983,62.95627435,63.33449726,63.6819343,64.17431898,64.17431898,64.17431898
85,Honduras,HND,82.2058632,82.90102291,83.61767285,84.32852726,85.03143056,85.72571659,86.41180982,87.08949473,87.75801412,88.41708104,89.06681337,89.707329,90.33874578,90.96102503,91.57430427,92.17872102,92.17872102,92.17872102
86,"Hong Kong SAR, China",HKG,98.67125,98.76964286,98.86803571,98.96642857,99.06482143,99.16321429,99.26160714,99.36,99.45839286,99.55678571,99.65517857,99.75357143,99.85196429,99.95035714,100,100,100,100
87,Hungary,HUN,99.96309896,99.96319792,99.96508202,99.96549245,99.96590183,99.96636213,99.96687335,99.9673805,99.96788459,99.9683826,99.96887754,99.96936842,99.96985423,99.97032998,99.97079667,99.97125227,99.97125227,99.97125227
88,Iceland,ISL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
89,India,IND,80.41490389,80.9047343,81.40321398,81.89819772,82.38979322,82.87767452,83.36195516,83.8427254,84.3199329,84.79329821,85.26291161,85.72884011,86.19160786,86.65096755,87.106864,87.55914016,87.55914016,87.55914016
90,Indonesia,IDN,74.56655528,75.62742507,76.6800557,77.72415256,78.76009937,79.78674603,80.80471215,81.81354355,82.81361221,83.80392069,84.78541945,85.75539803,86.71406778,87.66164008,88.59816674,89.52403041,89.52403041,89.52403041
91,"Iran, Islamic Rep.",IRN,94.99207424,95.05557653,95.11854668,95.18098469,95.24280186,95.224915,95.20451612,95.17757041,95.14638512,95.11305309,95.07768286,95.04021883,95.00084499,94.95858307,94.91365543,94.86619973,94.86619973,94.86619973
92,Iraq,IRQ,81.35497895,80.98410154,80.37082876,79.74598165,79.10954171,78.8863803,79.61268831,80.33765024,81.0610032,81.78254391,82.50269384,83.22296973,83.94340043,84.66297384,85.38150062,86.09833055,86.09833055,86.09833055
93,Ireland,IRL,96.08131887,96.28271536,96.4843146,96.68599399,96.88793601,97.09016214,97.29265709,97.49543222,97.69847422,97.9017925,98.10537568,98.30922377,98.51332379,98.71767609,98.92229401,98.92163909,98.92163909,98.92163909
94,Isle of Man,IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.2599681,96.2599681,96.2599681,96.2599681,96.2599681,96.2599681,96.2599681
95,Israel,ISR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
96,Italy,ITA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
97,Jamaica,JAM,90.77144599,90.93378775,91.09041417,91.24484842,91.39871181,91.55155873,91.70372019,91.8549819,92.0055539,92.15523041,92.30411539,92.45230426,92.60063048,92.74921257,92.89788489,92.91854636,92.91854636,92.91854636
98,Japan,JPN,98.47611465,98.47611465,98.47611465,98.47611465,98.47611465,98.51878981,98.56146497,98.60414013,98.64681529,98.68949045,98.73216561,98.77484076,98.81751592,98.86019108,98.90286624,98.9455414,98.9455414,98.9455414
99,Jordan,JOR,99.58848969,99.51816339,99.44818952,99.37855206,99.30924496,99.24026219,99.17159767,99.10324538,99.03521459,98.96746925,98.90001798,98.83287209,98.76597344,98.69931196,98.63287754,98.56668018,98.56668018,98.56668018
100,Kazakhstan,KAZ,86.1790875,86.51782402,86.85791102,87.19898864,87.54106559,87.88449012,88.22891978,88.5746912,88.92147356,89.26943373,89.62276374,89.9809239,90.34414501,90.66001982,90.90053579,91.14559003,91.14559003,91.14559003
101,Kenya,KEN,46.3881339,47.24220701,48.09002877,48.93141003,49.76616164,50.59317019,51.41322123,52.22612562,53.03169422,53.82891448,54.61847109,55.40133434,56.17682773,56.94468646,57.70464571,58.45677672,58.45677672,58.45677672
102,Kiribati,KIR,60.79332286,61.19660878,61.45870234,61.72166079,61.98518428,62.24891643,62.51355585,62.78337581,63.05888482,63.34100429,63.62985812,63.92639598,64.23025825,64.27897039,64.33269033,64.39232856,64.39232856,64.39232856
103,"Korea, Dem. Peopleâ€™s Rep.",PRK,99.97039079,99.93839085,99.90645354,99.87457743,99.84276497,99.81101292,99.77932532,99.74769733,99.71613118,99.68462686,99.653243,99.62199624,99.6225463,99.62315595,99.62382519,99.6245586,99.6245586,99.6245586
104,"Korea, Rep.",KOR,NaN,NaN,98.52745388,98.52745388,98.52745388,98.52745388,98.52745388,98.64606172,98.76466956,98.88327739,99.00188523,99.12049307,99.23910091,99.35770875,99.47631659,99.59492443,99.59492443,99.59492443
105,Kosovo,XKX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,Kuwait,KWT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
107,Kyrgyz Republic,KGZ,80.3243882,80.32394718,80.82483722,81.32552383,81.82643521,82.32715169,82.82808441,83.32883077,83.82959419,84.33056105,84.83517836,85.34319004,85.85468715,86.36888013,86.87712213,87.2686387,87.2686387,87.2686387
108,Lao PDR,LAO,45.82926228,48.31637439,50.78637014,53.23627251,55.66572726,58.07126813,60.44511571,62.78488413,65.09057339,67.36084938,69.59517813,71.79367773,73.95585825,76.08188187,78.38469639,80.44735551,80.44735551,80.44735551
